Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
0.009999	0.000000	0.000000
0.019999	0.000000	0.000000
0.029998	0.000000	0.000000
0.039998	0.000000	0.000000
0.049997	0.000000	0.000000
0.059996	0.000000	0.000000
0.069996	0.000000	0.000000
0.079995	0.000000	0.000000
0.089994	0.000000	0.000000
0.099994	0.000000	0.000000
0.109993	0.000000	0.000000
0.119993	0.000000	0.000000
0.129992	0.000000	0.000000
0.139991	0.000000	0.001587
0.149991	0.000000	0.003175
0.159990	0.000000	0.006349
0.169989	0.000000	0.006349
0.179989	0.000000	0.011111
0.189988	0.000000	0.017460
0.199988	0.000000	0.022222
0.209987	0.000000	0.031746
0.219986	0.000000	0.034921
0.229986	0.000000	0.047619
0.239985	0.000000	0.071429
0.249985	0.000000	0.087302
0.259984	0.000000	0.109524
0.269983	0.000000	0.125397
0.279983	0.000000	0.150794
0.289982	0.000000	0.171429
0.299981	0.000000	0.196825
0.309981	0.000000	0.234921
0.319980	0.000000	0.258730
0.329980	0.000000	0.277778
0.339979	0.000000	0.296825
0.349978	0.000000	0.319048
0.359978	0.000000	0.342857
0.369977	0.000000	0.368254
0.379977	0.000000	0.395238
0.389976	0.000000	0.420635
0.399975	0.000000	0.438095
0.409975	0.000000	0.457143
0.419974	0.000000	0.484127
0.429973	0.000000	0.504762
0.439973	0.000000	0.522222
0.449972	0.000000	0.541270
0.459972	0.000000	0.563492
0.469971	0.000000	0.577778
0.479970	0.000000	0.595238
0.489970	0.000000	0.611111
0.499969	0.001894	0.617460
0.509968	0.001894	0.633333
0.519968	0.001894	0.642857
0.529967	0.001894	0.658730
0.539967	0.001894	0.673016
0.549966	0.001894	0.701587
0.559965	0.001894	0.719048
0.569965	0.001894	0.728571
0.579964	0.001894	0.736508
0.589964	0.001894	0.747619
0.599963	0.001894	0.753968
0.609962	0.003788	0.760317
0.619962	0.005682	0.768254
0.629961	0.007576	0.773016
0.639960	0.009470	0.782540
0.649960	0.011364	0.795238
0.659959	0.013258	0.803175
0.669959	0.017045	0.812698
0.679958	0.018939	0.822222
0.689957	0.020833	0.834921
0.699957	0.020833	0.842857
0.709956	0.022727	0.849206
0.719956	0.026515	0.858730
0.729955	0.032197	0.860317
0.739954	0.043561	0.868254
0.749954	0.047348	0.877778
0.759953	0.051136	0.882540
0.769952	0.058712	0.884127
0.779952	0.058712	0.890476
0.789951	0.070076	0.893651
0.799951	0.075758	0.900000
0.809950	0.083333	0.903175
0.819949	0.087121	0.909524
0.829949	0.100379	0.914286
0.839948	0.104167	0.914286
0.849947	0.111742	0.919048
0.859947	0.126894	0.925397
0.869946	0.138258	0.934921
0.879946	0.155303	0.939683
0.889945	0.181818	0.946032
0.899944	0.217803	0.952381
0.909944	0.248106	0.960317
0.919943	0.287879	0.965079
0.929943	0.339015	0.971429
0.939942	0.382576	0.974603
0.949941	0.443182	0.979365
0.959941	0.528409	0.984127
0.969940	0.606061	0.988889
0.979939	0.712121	0.993651
0.989939	0.837121	0.996825
0.999938	0.998106	1.000000
1.009938	1.000000	1.000000
