Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
3.919158	0.000000	0.000000
7.838316	0.000000	0.000000
11.757474	0.000000	0.000000
15.676632	0.000000	0.002708
19.595790	0.000000	0.005415
23.514948	0.000000	0.021661
27.434107	0.000000	0.044224
31.353265	0.000000	0.078520
35.272423	0.000000	0.120939
39.191581	0.000000	0.161552
43.110739	0.000000	0.203069
47.029897	0.000000	0.253610
50.949055	0.000000	0.295126
54.868213	0.000000	0.327617
58.787371	0.000000	0.377256
62.706529	0.000000	0.407040
66.625687	0.000000	0.443141
70.544845	0.000000	0.471119
74.464003	0.000000	0.508123
78.383161	0.000000	0.536101
82.302320	0.000000	0.561372
86.221478	0.000000	0.581227
90.140636	0.000000	0.610108
94.059794	0.000000	0.638087
97.978952	0.000000	0.660650
101.898110	0.000000	0.690433
105.817268	0.000000	0.711191
109.736426	0.000000	0.733755
113.655584	0.000000	0.748195
117.574742	0.000000	0.759025
121.493900	0.000000	0.779783
125.413058	0.000000	0.798736
129.332216	0.000000	0.814982
133.251374	0.000000	0.828520
137.170533	0.000000	0.842960
141.089691	0.000000	0.858303
145.008849	0.000000	0.870939
148.928007	0.000666	0.876354
152.847165	0.001332	0.881769
156.766323	0.001332	0.888989
160.685481	0.001332	0.892599
164.604639	0.001997	0.901625
168.523797	0.001997	0.907942
172.442955	0.001997	0.913357
176.362113	0.002663	0.920578
180.281271	0.003995	0.928700
184.200429	0.005326	0.933213
188.119587	0.005326	0.936823
192.038746	0.005326	0.940433
195.957904	0.005992	0.942238
199.877062	0.006658	0.944043
203.796220	0.008655	0.947653
207.715378	0.009987	0.951264
211.634536	0.009987	0.955776
215.553694	0.012650	0.958484
219.472852	0.015979	0.962094
223.392010	0.017976	0.968412
227.311168	0.021305	0.972022
231.230326	0.023968	0.973827
235.149484	0.027297	0.978339
239.068642	0.031957	0.979242
242.987801	0.039281	0.981047
246.906959	0.042610	0.981949
250.826117	0.053262	0.981949
254.745275	0.063249	0.981949
258.664433	0.073901	0.983755
262.583591	0.086551	0.983755
266.502749	0.104527	0.987365
270.421907	0.121838	0.989170
274.341065	0.138482	0.990072
278.260223	0.163116	0.990975
282.179381	0.189081	0.993682
286.098539	0.215047	0.993682
290.017697	0.245007	0.993682
293.936855	0.282290	0.994585
297.856014	0.318908	0.994585
301.775172	0.357523	0.995487
305.694330	0.397470	0.995487
309.613488	0.454727	0.996390
313.532646	0.502663	0.997292
317.451804	0.565246	0.997292
321.370962	0.625166	0.998195
325.290120	0.672437	1.000000
329.209278	0.719041	1.000000
333.128436	0.776298	1.000000
337.047594	0.814913	1.000000
340.966752	0.857523	1.000000
344.885910	0.890146	1.000000
348.805068	0.907457	1.000000
352.724227	0.936085	1.000000
356.643385	0.959387	1.000000
360.562543	0.974035	1.000000
364.481701	0.983356	1.000000
368.400859	0.988682	1.000000
372.320017	0.995340	1.000000
376.239175	0.997337	1.000000
380.158333	0.998003	1.000000
384.077491	0.998003	1.000000
387.996649	0.998668	1.000000
391.915807	0.999334	1.000000
395.834965	1.000000	1.000000
